iter	Passed	Remaining
0	58	58853
1	59	29548
2	59	19759
3	59	14872
4	60	11962
5	60	10002
6	60	8605
7	60	7553
8	61	6742
9	61	6093
10	61	5560
11	62	5115
12	62	4736
13	62	4416
14	62	4136
15	63	3893
16	63	3677
17	63	3486
18	64	3315
19	64	3158
20	64	3018
21	65	2890
22	65	2772
23	65	2665
24	65	2565
25	66	2473
26	66	2387
27	66	2307
28	66	2233
29	66	2164
30	67	2100
31	67	2039
32	67	1983
33	67	1930
34	68	1881
35	68	1835
36	68	1792
37	69	1750
38	69	1711
39	69	1674
40	70	1639
41	70	1604
42	70	1571
43	70	1539
44	71	1509
45	71	1480
46	71	1455
47	72	1429
48	72	1405
49	72	1381
50	73	1358
51	73	1336
52	73	1313
53	73	1291
54	73	1270
55	74	1251
56	74	1232
57	74	1214
58	74	1196
59	75	1178
60	75	1162
61	75	1145
62	76	1131
63	76	1116
64	76	1103
65	76	1089
66	77	1075
67	77	1062
68	77	1050
69	78	1038
70	78	1027
71	78	1015
72	79	1003
73	79	992
74	79	981
75	79	969
76	80	959
77	80	948
78	80	938
79	80	928
80	80	918
81	81	909
82	81	898
83	81	889
84	81	881
85	82	873
86	82	864
87	82	856
88	82	848
89	83	841
90	83	833
91	83	826
92	84	819
93	84	812
94	84	805
95	84	798
96	85	792
97	85	785
98	85	779
99	85	772
100	86	766
101	86	761
102	86	755
103	87	749
104	87	743
105	87	738
106	87	732
107	88	727
108	88	722
109	88	717
110	89	712
111	89	708
112	89	703
113	89	698
114	90	694
115	90	689
116	90	684
117	91	680
118	91	676
119	91	672
120	91	668
121	92	663
122	92	660
123	92	656
124	93	651
125	93	647
126	93	643
127	93	638
128	94	635
129	94	631
130	94	627
131	94	623
132	95	620
133	95	616
134	95	612
135	95	608
136	96	605
137	96	601
138	96	597
139	96	594
140	97	591
141	97	587
142	97	583
143	97	580
144	98	577
145	98	574
146	98	572
147	98	569
148	99	566
149	99	563
150	99	560
151	99	557
152	100	554
153	100	551
154	100	549
155	100	546
156	101	543
157	101	540
158	101	538
159	101	535
160	102	532
161	102	529
162	102	526
163	102	523
164	103	521
165	103	518
166	103	516
167	103	513
168	103	510
169	104	508
170	104	506
171	104	503
172	104	501
173	105	498
174	105	496
175	105	494
176	105	492
177	106	489
178	106	487
179	106	485
180	106	483
181	107	481
182	107	479
183	107	477
184	107	475
185	108	473
186	108	471
187	108	469
188	108	466
189	109	464
190	109	462
191	109	460
192	109	459
193	110	457
194	110	455
195	110	453
196	110	451
197	110	449
198	111	447
199	111	445
200	111	444
201	111	442
202	112	440
203	112	438
204	112	436
205	112	435
206	113	433
207	113	431
208	113	429
209	113	428
210	114	426
211	114	424
212	114	423
213	114	421
214	115	419
215	115	418
216	115	416
217	115	415
218	116	413
219	116	412
220	116	410
221	116	408
222	116	407
223	117	406
224	117	404
225	117	403
226	118	402
227	118	400
228	118	398
229	118	397
230	118	395
231	119	394
232	119	393
233	119	391
234	119	390
235	120	388
236	120	387
237	120	386
238	120	384
239	121	383
240	121	381
241	121	380
242	121	379
243	121	377
244	122	376
245	122	375
246	122	374
247	123	373
248	123	372
249	123	370
250	123	369
251	124	368
252	124	367
253	124	366
254	124	364
255	125	363
256	125	362
257	125	361
258	125	360
259	126	359
260	126	357
261	126	356
262	126	355
263	127	354
264	127	353
265	127	352
266	127	351
267	128	350
268	128	348
269	128	347
270	128	346
271	129	345
272	129	344
273	129	343
274	129	342
275	130	341
276	130	340
277	130	339
278	130	338
279	131	337
280	131	336
281	131	335
282	131	334
283	132	333
284	132	332
285	132	331
286	132	330
287	133	329
288	133	328
289	133	327
290	134	326
291	134	325
292	134	324
293	134	323
294	134	322
295	135	321
296	135	320
297	135	319
298	136	319
299	136	318
300	136	317
301	136	316
302	137	315
303	137	314
304	137	313
305	137	312
306	138	311
307	138	310
308	138	309
309	138	308
310	139	308
311	139	307
312	139	306
313	139	305
314	139	304
315	140	303
316	140	302
317	140	301
318	140	300
319	141	299
320	141	298
321	141	298
322	141	297
323	142	296
324	142	295
325	142	294
326	142	293
327	142	292
328	143	292
329	143	291
330	143	290
331	144	290
332	144	289
333	144	288
334	144	287
335	145	286
336	145	285
337	145	285
338	145	284
339	146	283
340	146	282
341	146	282
342	146	281
343	147	280
344	147	279
345	147	279
346	147	278
347	148	277
348	148	276
349	148	276
350	148	275
351	149	274
352	149	273
353	149	273
354	149	272
355	150	271
356	150	271
357	150	270
358	151	269
359	151	269
360	151	268
361	151	267
362	152	267
363	152	266
364	152	265
365	153	265
366	153	264
367	153	263
368	153	263
369	154	262
370	154	261
371	154	261
372	155	260
373	155	259
374	155	259
375	155	258
376	155	257
377	156	257
378	156	256
379	156	255
380	156	255
381	157	254
382	157	253
383	157	252
384	157	252
385	158	251
386	158	250
387	158	250
388	158	249
389	159	248
390	159	248
391	159	247
392	159	246
393	160	246
394	160	245
395	160	244
396	160	244
397	161	243
398	161	243
399	161	242
400	161	241
401	162	241
402	162	240
403	162	239
404	162	239
405	162	238
406	163	237
407	163	237
408	163	236
409	164	236
410	164	235
411	164	234
412	164	234
413	165	233
414	165	232
415	165	232
416	165	231
417	166	231
418	166	230
419	166	230
420	166	229
421	167	228
422	167	228
423	167	227
424	168	227
425	168	226
426	168	226
427	168	225
428	168	224
429	169	224
430	169	223
431	169	222
432	169	222
433	169	221
434	170	220
435	170	220
