iter	Passed	Remaining
0	57	57449
1	57	28907
2	58	19345
3	58	14549
4	58	11685
5	59	9775
6	59	8405
7	59	7380
8	59	6583
9	60	5944
10	60	5425
11	60	4987
12	60	4627
13	61	4313
14	61	4038
15	61	3796
16	61	3584
17	62	3395
18	62	3227
19	62	3075
20	63	2938
21	63	2813
22	63	2701
23	63	2596
24	64	2499
25	64	2410
26	64	2329
27	64	2253
28	65	2182
29	65	2117
30	65	2055
31	65	1995
32	66	1941
33	66	1888
34	66	1838
35	66	1792
36	67	1748
37	67	1709
38	67	1669
39	68	1633
40	68	1598
41	68	1564
42	68	1532
43	69	1502
44	69	1472
45	69	1443
46	69	1417
47	70	1391
48	70	1366
49	70	1342
50	70	1318
51	71	1295
52	71	1273
53	71	1253
54	71	1233
55	72	1214
56	72	1194
57	72	1176
58	72	1159
59	72	1142
60	73	1127
61	73	1112
62	73	1096
63	74	1082
64	74	1068
65	74	1054
66	74	1040
67	75	1028
68	75	1016
69	75	1004
70	75	992
71	76	981
72	76	970
73	76	959
74	76	948
75	77	937
76	77	927
77	77	917
78	77	907
79	78	897
80	78	888
81	78	878
82	78	868
83	78	860
84	79	851
85	79	843
86	79	835
87	79	827
88	80	820
89	80	813
90	80	805
91	80	798
92	81	792
93	81	785
94	81	778
95	81	771
96	82	765
97	82	758
98	82	752
99	82	746
100	83	739
101	83	734
102	83	729
103	83	723
104	84	717
105	84	712
106	84	707
107	85	702
108	85	697
109	85	693
110	85	688
111	86	684
112	86	678
113	86	674
114	87	669
115	87	664
116	87	659
117	87	655
118	87	650
119	88	646
120	88	641
121	88	636
122	88	633
123	89	629
124	89	625
125	89	621
126	89	617
127	90	613
128	90	609
129	90	606
130	90	602
131	91	598
132	91	595
133	91	591
134	91	588
135	92	585
136	92	582
137	92	579
138	93	576
139	93	573
140	93	569
141	93	565
142	93	562
143	94	559
144	94	556
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	536
152	96	533
153	96	530
154	96	528
155	97	525
156	97	522
157	97	520
158	97	517
159	98	515
160	98	512
161	98	510
162	98	507
